Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/19/24,Friday,24.13,Taco Bell,Food,Credit,Need
1/19/24,Friday,18.68,L&L Hawaiian BBQ,Food,Credit,Need
1/19/24,Friday,77.75,Karaoke,Entertainment and Recreation,Debit,Want
1/19/24,Friday,3.00,ATM Fee,Entertainment and Recreation,Debit,Want
1/21/24,Sunday,16.46,Little Ceasers,Food,Credit,Need
1/21/24,Sunday,57.05,Mcdonalds,Food,Credit,Need
1/22/24,Monday,9.00,Zelle,Financial goals and Savings,Debit,Savings
1/24/24,Monday,30.00,Zelle,Financial goals and Savings,Debit,Savings
1/23/24,Tuesday,12.05,Skyline Cafe,Food,Credit,Need
1/24/24,Wednesday,10.26,Skyline Cafe,Food,Credit,Need
1/24/24,Wednesday,5.00,Tpumps,Food,Debit,Want
1/25/24,Thursday,13.55,Skyline Cafe,Food,Credit,Need
1/25/24,Thursday,37.46,DoorDash,Food,Credit,Need
1/25/24,Thursday,252.71,Nike Snkrs,Entertainment and Recreation,Credit,Want
1/26/24,Friday,21.88,Wingstop,Food,Credit,Need
1/29/24,Monday,2.99,Subscription,Bills,Debit,Need
1/29/24,Monday,10.00,Subscription,Bills,Debit,Need
1/29/24,Monday,72.99,Subscription,Bills,Debit,Want
1/29/24,Monday,15.44,Skyline Cafe,Food,Credit,Need
1/29/24,Monday,51.94,U Dessert Cafe,Food,Credit,Want
1/30/24,Tuesday,5.99,Subscription,Bills,Debit,Want
1/30/24,Tuesday,13.00,Zelle,Food,Debit,Need
1/30/24,Tuesday,33.43,Zelle (Gas),Travel,Debit,Need
1/30/24,Tuesday,2.41,7-Eleven,Food,Credit,Want
1/30/24,Tuesday,12.08,Safety Googles,Bills,Credit,Need
1/30/24,Tuesday,41.66,Gas,Travel,Credit,Need
1/30/24,Tuesday,9.26,Skyline Cafe,Food,Credit,Need
1/30/24,Tuesday,16.52,Snacks ,Food,Credit,Need
1/31/24,Wednesday,67.11,Zelle (Gas),Travel,Debit,Need
1/31/24,Wednesday,33.00,Birthday Gift,Entertainment and Recreation,Debit,Need
1/31/24,Wednesday,400.74,Credit Card Bill,Bills,Debit,Need
1/31/24,Wednesday,20.00,Gas,Travel,Credit,Need
1/31/24,Wednesday,12.01,Popeyes,Food,Credit,Need
2/1/24,Thursday,6.93,Skyline Cafe,Food,Credit,Need
2/1/24,Thursday,100.00,Zelle,Financial goals and Savings,Debit,Savings
2/1/24,Thursday,17.00,Zelle (Gas),Financial goals and Savings,Debit,Savings
2/1/24,Thursday,43.00,Zelle,Financial goals and Savings,Debit,Savings
2/3/24,Saturday,7.00,Tip,Food,Cash,Need
2/3/24,Saturday,11.50,Boba,Food,Credit,Want
2/3/24,Saturday,3.28,Target,Entertainment and Recreation,Credit,Need
2/4/24,Sunday,36.54,DoorDash,Food,Credit,Need
2/5/24,Monday,25.01,Gas,Travel,Credit,Need
2/5/24,Monday,8.65,Skyline Cafe,Food,Credit,Need
2/6/24,Tuesday,5.43,Skyline Cafe,Food,Credit,Need
2/6/24,Tuesday,236.23,Nike Snkrs,Entertainment and Recreation,Debit,Want
2/7/24,Wednesday,8.76,Skyline Cafe,Food,Credit,Need
2/7/24,Wednesday,14.18,Quickly,Food,Credit,Want